text,label,processed_text,sentiment,avg_word_length,text_length,pos_tags
"In today's lecture, we will discuss agile methodologies in detail.",sound,today lecture discus agile methodology detail,0.5,6.666666666666667,6,"[('today', 'NN'), ('lecture', 'NN'), ('discus', 'NN'), ('agile', 'IN'), ('methodology', 'NN'), ('detail', 'NN')]"
Someone was random whispers—it was impossible to hear anything.,noise,someone random whispersit impossible hear anything,-0.5833333333333333,7.5,6,"[('someone', 'NN'), ('random', 'NN'), ('whispersit', 'NN'), ('impossible', 'JJ'), ('hear', 'NN'), ('anything', 'NN')]"
The concept of natural language processing is essential for understanding digital signal processing.,sound,concept natural language processing essential understanding digital signal processing,0.03333333333333333,8.555555555555555,9,"[('concept', 'JJ'), ('natural', 'JJ'), ('language', 'NN'), ('processing', 'VBG'), ('essential', 'JJ'), ('understanding', 'JJ'), ('digital', 'JJ'), ('signal', 'NN'), ('processing', 'NN')]"
"Next, we'll explore how optimization techniques works in microcontrollers scenarios.",sound,next well explore optimization technique work microcontrollers scenario,0.0,8.0,8,"[('next', 'RB'), ('well', 'RB'), ('explore', 'VB'), ('optimization', 'NN'), ('technique', 'NN'), ('work', 'NN'), ('microcontrollers', 'NNS'), ('scenario', 'NN')]"
I couldn't hear the lecture because of the people talking.,noise,couldnt hear lecture people talking,0.0,6.2,5,"[('couldnt', 'NN'), ('hear', 'JJ'), ('lecture', 'NN'), ('people', 'NNS'), ('talking', 'VBG')]"
Ambient noises like projector humming were very distracting.,noise,ambient noise like projector humming distracting,0.0,7.166666666666667,6,"[('ambient', 'JJ'), ('noise', 'NN'), ('like', 'IN'), ('projector', 'NN'), ('humming', 'VBG'), ('distracting', 'VBG')]"
Ambient noises like static noises were very distracting.,noise,ambient noise like static noise distracting,0.5,6.333333333333333,6,"[('ambient', 'JJ'), ('noise', 'NN'), ('like', 'IN'), ('static', 'JJ'), ('noise', 'NN'), ('distracting', 'NN')]"
"In today's lecture, we will discuss neural networks in detail.",sound,today lecture discus neural network detail,0.0,6.166666666666667,6,"[('today', 'NN'), ('lecture', 'NN'), ('discus', 'VBZ'), ('neural', 'JJ'), ('network', 'NN'), ('detail', 'NN')]"
Ambient noises like air conditioner noise were very distracting.,noise,ambient noise like air conditioner noise distracting,0.0,6.571428571428571,7,"[('ambient', 'JJ'), ('noise', 'NN'), ('like', 'IN'), ('air', 'NN'), ('conditioner', 'NN'), ('noise', 'NN'), ('distracting', 'VBG')]"
I couldn't hear the lecture because of the ambient noise.,noise,couldnt hear lecture ambient noise,0.0,6.0,5,"[('couldnt', 'NN'), ('hear', 'JJ'), ('lecture', 'NN'), ('ambient', 'NN'), ('noise', 'NN')]"
"In today's lecture, we will discuss reinforcement learning in detail.",sound,today lecture discus reinforcement learning detail,0.0,7.5,6,"[('today', 'NN'), ('lecture', 'NN'), ('discus', 'NN'), ('reinforcement', 'NN'), ('learning', 'VBG'), ('detail', 'NN')]"
I couldn't hear the lecture because of the announcements.,noise,couldnt hear lecture announcement,0.0,7.5,4,"[('couldnt', 'NN'), ('hear', 'JJ'), ('lecture', 'NN'), ('announcement', 'NN')]"
Ambient noises like announcements were very distracting.,noise,ambient noise like announcement distracting,0.0,7.8,5,"[('ambient', 'JJ'), ('noise', 'NN'), ('like', 'IN'), ('announcement', 'NN'), ('distracting', 'VBG')]"
"Uh, like, there was some inaudible murmurs in the background.",noise,uh like inaudible murmur background,0.0,6.2,5,"[('uh', 'NNS'), ('like', 'IN'), ('inaudible', 'JJ'), ('murmur', 'NN'), ('background', 'NN')]"
The echo from phone ringing made the voice unclear.,noise,echo phone ringing made voice unclear,0.0,5.333333333333333,6,"[('echo', 'JJ'), ('phone', 'NN'), ('ringing', 'VBG'), ('made', 'VBN'), ('voice', 'NN'), ('unclear', 'JJ')]"
Real-world examples of edge computing include IoT devices.,sound,realworld example edge computing include iot device,0.0,6.428571428571429,7,"[('realworld', 'NN'), ('example', 'NN'), ('edge', 'NN'), ('computing', 'VBG'), ('include', 'VBP'), ('iot', 'JJ'), ('device', 'NN')]"
Can someone mute the ambient noise? It's really loud.,noise,someone mute ambient noise really loud,0.1,5.5,6,"[('someone', 'NN'), ('mute', 'NN'), ('ambient', 'NN'), ('noise', 'NN'), ('really', 'RB'), ('loud', 'JJ')]"
"Uh, like, there was some air conditioner noise in the background.",noise,uh like air conditioner noise background,0.0,5.833333333333333,6,"[('uh', 'NNS'), ('like', 'IN'), ('air', 'NN'), ('conditioner', 'NN'), ('noise', 'NN'), ('background', 'NN')]"
The concept of finite state machines is essential for understanding blockchain technology.,sound,concept finite state machine essential understanding blockchain technology,0.0,8.375,8,"[('concept', 'NN'), ('finite', 'JJ'), ('state', 'NN'), ('machine', 'NN'), ('essential', 'JJ'), ('understanding', 'NN'), ('blockchain', 'NN'), ('technology', 'NN')]"
Can someone mute the people talking? It's really loud.,noise,someone mute people talking really loud,0.1,5.666666666666667,6,"[('someone', 'NN'), ('mute', 'NN'), ('people', 'NNS'), ('talking', 'VBG'), ('really', 'RB'), ('loud', 'JJ')]"
"Next, we'll explore how algorithm design works in deep learning scenarios.",sound,next well explore algorithm design work deep learning scenario,0.0,6.0,9,"[('next', 'RB'), ('well', 'RB'), ('explore', 'RB'), ('algorithm', 'JJ'), ('design', 'NN'), ('work', 'NN'), ('deep', 'JJ'), ('learning', 'NN'), ('scenario', 'NN')]"
Real-world examples of gradient descent include support vector machines.,sound,realworld example gradient descent include support vector machine,0.0,7.25,8,"[('realworld', 'NN'), ('example', 'NN'), ('gradient', 'JJ'), ('descent', 'NN'), ('include', 'VBP'), ('support', 'NN'), ('vector', 'NN'), ('machine', 'NN')]"
Unintelligible murmurs about inaudible murmurs kept interfering.,noise,unintelligible murmur inaudible murmur kept interfering,0.0,8.333333333333334,6,"[('unintelligible', 'JJ'), ('murmur', 'NN'), ('inaudible', 'JJ'), ('murmur', 'NN'), ('kept', 'VBD'), ('interfering', 'VBG')]"
The echo from random whispers made the voice unclear.,noise,echo random whisper made voice unclear,-0.5,5.5,6,"[('echo', 'JJ'), ('random', 'NN'), ('whisper', 'NN'), ('made', 'VBD'), ('voice', 'NN'), ('unclear', 'JJ')]"
